Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2018,206,Cheikhou Kouyaté,Crystal Palace,29,  D(CR)DMC,21(10),1897,-,2,3,-,0.6,80.1,2.1,-,6.61
2019,181,Cheikhou Kouyaté,Crystal Palace,29,  D(CR)DMC,9,753,-,-,1,-,1.2,77.5,2.7,-,6.58
2017,227,Chicharito,West Ham,31,  FW,16(12),1544,8,-,3,-,1,73.2,0.5,1,6.58
2018,214,Chicharito,West Ham,31,  FW,14(11),1339,7,1,2,-,1.5,71.1,0.5,-,6.59
2014,281,Chris Baird,West Bromwich Albion,37,  D(LR)DMC,9(10),803,-,-,2,-,0.2,76.1,0.9,-,6.43
2019,95,Chris Basham,Sheffield United,31,  D(CR)M(CR),11,958,-,-,1,-,0.3,68.2,3,2,6.86
2014,52,Chris Brunt,West Bromwich Albion,34,  D(L)M(CLR),33(1),2898,2,10,5,-,1,72.6,1.5,3,7.19
2015,170,Chris Brunt,West Bromwich Albion,34,  D(L)M(CLR),20(2),1803,-,3,7,-,0.8,69.8,1.1,-,6.8
2016,119,Chris Brunt,West Bromwich Albion,34,  D(L)M(CLR),27(4),2479,3,4,5,-,1.2,73.3,0.9,2,6.9
2017,85,Chris Brunt,West Bromwich Albion,34,  D(L)M(CLR),22(4),1923,-,7,5,-,1,73.6,0.6,-,6.93
2017,251,Chris Löwe,Huddersfield,30,  D(L)M(L),19(4),1594,-,-,1,-,0.3,72.5,0.5,-,6.51
2018,264,Chris Löwe,Huddersfield,30,  D(L)M(L),23(6),2057,-,2,2,-,0.6,75.1,0.9,-,6.35
2014,20,Chris Smalling,Manchester United,29,  D(CR),21(4),1880,4,-,1,1,0.7,88.6,2.8,2,7.34
2015,46,Chris Smalling,Manchester United,29,  D(CR),35,3150,-,1,8,-,0.5,82.4,3.5,1,7.17
2017,25,Chris Smalling,Manchester United,29,  D(CR),28(1),2536,4,-,4,-,0.4,87.6,3.7,1,7.24
2018,130,Chris Smalling,Manchester United,29,  D(CR),24,2128,1,-,1,-,0.5,86.2,4.3,1,6.79
2017,144,Chris Wood,Burnley,27,  FW,20(4),1634,10,1,1,-,1.6,60.2,3.5,1,6.79
2018,176,Chris Wood,Burnley,27,  FW,29(9),2596,10,2,2,-,1.6,64.8,3.5,2,6.67
2019,149,Chris Wood,Burnley,27,  FW,9,757,4,-,1,-,2,66.2,3,1,6.67
2017,255,Christian Atsu,Newcastle United,27,  AM(CLR),19(9),1782,2,2,1,-,1.3,77.2,0.5,-,6.5
2018,252,Christian Atsu,Newcastle United,27,  AM(CLR),15(13),1488,1,-,2,-,1,82.2,0.4,-,6.44
2019,195,Christian Atsu,Newcastle United,27,  AM(CLR),4(5),453,-,2,1,-,0.3,81.7,0.6,-,6.52
2014,85,Christian Benteke,Aston Villa,28,  FW,26(3),2380,13,2,1,1,2.8,66.7,6.5,3,7.08
2015,154,Christian Benteke,Liverpool,28,  FW,14(15),1520,9,3,2,-,2.1,66.1,4.4,3,6.83
2016,17,Christian Benteke,Crystal Palace,28,  FW,36,3138,15,2,10,-,2.9,59.6,9,7,7.36
2017,92,Christian Benteke,Crystal Palace,28,  FW,24(7),2238,3,5,6,-,1.9,56.4,7.8,2,6.91
2019,201,Christian Benteke,Crystal Palace,28,  FW,2(8),269,-,-,1,-,0.7,52.6,3.5,-,6.49
2014,81,Christian Eriksen,Tottenham,27,  M(CLR),37(1),3142,10,2,4,-,2.6,82,0.6,5,7.09
2015,13,Christian Eriksen,Tottenham,27,  M(CLR),33(2),2942,6,13,2,-,2.9,81.2,0.5,2,7.45
2016,8,Christian Eriksen,Tottenham,27,  M(CLR),36,3167,8,15,-,-,3.7,80.2,0.6,7,7.53
2017,11,Christian Eriksen,Tottenham,27,  M(CLR),37,3226,10,10,-,-,2.6,82.4,0.5,4,7.4
2018,43,Christian Eriksen,Tottenham,27,  M(CLR),30(5),2772,8,12,3,-,2.4,81,0.4,2,7.08
2019,184,Christian Eriksen,Tottenham,27,  M(CLR),7(3),693,1,1,3,-,1.5,79.7,0.3,-,6.57
2015,10,Christian Fuchs,Leicester,33,  D(CL)M(L),30(2),2710,-,4,4,-,0.6,72.4,1.5,4,7.5
2016,71,Christian Fuchs,Leicester,33,  D(CL)M(L),35(1),3104,2,4,10,-,0.6,72.3,1.9,2,7.05
2017,130,Christian Fuchs,Leicester,33,  D(CL)M(L),21(4),1918,-,1,1,-,0.4,74.1,2.4,2,6.81
2017,81,Christian Kabasele,Watford,28,  D(C),27(1),2332,2,-,5,-,0.4,74.8,3.7,2,6.93
2018,177,Christian Kabasele,Watford,28,  D(C),19(2),1587,-,-,2,1,0.4,73.9,2.9,1,6.67
2019,25,Christian Pulisic,Chelsea,21,  M(CLR),5(3),486,4,2,-,-,1.6,84.3,0.9,2,7.27
2017,41,Christopher Schindler,Huddersfield,29,  D(C),37,3266,-,1,6,1,0.3,81.4,4.2,3,7.11
2018,216,Christopher Schindler,Huddersfield,29,  D(C),37,3262,1,-,4,1,0.4,82.8,3.7,1,6.59
2014,67,Ciaran Clark,Aston Villa,30,  D(CL),22(3),1994,1,2,8,1,0.6,79,3,2,7.12
2015,139,Ciaran Clark,Aston Villa,30,  D(CL),16(2),1442,1,-,6,-,0.6,76,2.8,-,6.87
2017,145,Ciaran Clark,Newcastle United,30,  D(CL),19(1),1745,2,1,3,-,0.6,71.7,2.1,-,6.79
2016,274,Claudio Bravo,Manchester City,36,  GK,22,1969,-,-,-,-,-,72.6,0.2,-,6.38
2014,174,Claudio Yacob,West Bromwich Albion,32,  DMC,16(4),1390,-,-,5,1,0.4,79.3,1.3,-,6.84
2015,98,Claudio Yacob,West Bromwich Albion,32,  DMC,33(1),2854,-,1,8,-,0.3,78.3,1.4,2,6.99
2016,173,Claudio Yacob,West Bromwich Albion,32,  DMC,27(6),2418,-,-,9,-,0.3,82.4,1.4,-,6.73
2014,175,Clint Hill,Queens Park Rangers,41,  D(CL),15(4),1410,1,-,4,-,0.4,64.8,2.4,-,6.84
2017,275,Collin Quaner,Huddersfield,28,  AM(R)FW,13(13),1273,-,4,4,-,0.6,74.2,0.6,-,6.39
