Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2014,492,Dwight Tiendalli,Swansea,3,125,0,0,0,,0.03,0.03,0,0.02
2014,7,Eden Hazard,Chelsea,38,3389,14,9,12.02,-1.98,11.24,2.24,0.32,0.3
2014,91,Edin Dzeko,Manchester City,22,928,4,2,3.97,-0.03,1.31,-0.69,0.39,0.13
2014,95,Eduardo Vargas,Queens Park Rangers,21,1389,3,2,3.48,0.48,1.82,-0.18,0.23,0.12
2014,430,Eldin Jakupovic,Hull,3,228,0,0,0,,0,,0,0
2014,288,Eliaquim Mangala,Manchester City,25,2188,0,2,0.87,0.87,1.04,-0.96,0.04,0.04
2014,164,Eljero Elia,Southampton,16,798,2,0,0.75,-1.25,0.71,0.71,0.08,0.08
2014,395,Elliot Lee,West Ham,1,12,0,0,0,,0,,0,0
2014,397,Emanuele Giaccherini,Sunderland,8,292,0,0,0.33,0.33,0.56,0.56,0.1,0.17
2014,462,Emiliano Martinez,Arsenal,4,299,0,0,0,,0,,0,0
2014,124,Emmanuel Adebayor,Tottenham,13,811,2,1,2.9,0.9,1.35,0.35,0.32,0.15
2014,514,Emmanuel Mayuka,Southampton,5,39,0,0,0,,0.01,0.01,0,0.03
2014,201,Emmanuel Rivière,Newcastle United,23,1231,1,1,3.65,2.65,0.91,-0.09,0.27,0.07
2014,177,Emre Can,Liverpool,27,2068,1,0,0.45,-0.55,1.28,1.28,0.02,0.06
2014,75,Enner Valencia,West Ham,32,2119,4,3,6.48,2.48,2.59,-0.41,0.28,0.11
2014,138,Eric Dier,Tottenham,28,2288,2,2,1.42,-0.58,1.47,-0.53,0.06,0.06
2014,139,Erik Lamela,Tottenham,33,2297,2,7,2.45,0.45,6.1,-0.9,0.1,0.24
2014,359,Erik Pieters,Stoke,31,2571,0,2,0.47,0.47,1.15,-0.85,0.02,0.04
2014,68,Esteban Cambiasso,Leicester,31,2432,5,1,2.48,-2.52,1.94,0.94,0.09,0.07
2014,274,Etienne Capoue,Tottenham,12,911,0,0,0.12,0.12,0.24,0.24,0.01,0.02
2014,423,Ezekiel Fryers,Crystal Palace,1,1,0,0,0,,0,,0,0
2014,355,Fabian Delph,Aston Villa,28,2435,0,3,1.54,1.54,2.42,-0.58,0.06,0.09
2014,194,Fabio Borini,Liverpool,12,389,1,1,1.95,0.95,0.93,-0.07,0.45,0.22
2014,216,Fabricio Coloccini,Newcastle United,32,2839,1,0,1.31,0.31,0.72,0.72,0.04,0.02
2014,81,Falcao,Manchester United,26,1278,4,4,7.16,3.16,1.89,-2.11,0.5,0.13
2014,390,Federico Fazio,Tottenham,20,1780,0,0,0.49,0.49,0.04,0.04,0.02,0
2014,314,Federico Fernández,Swansea,28,2472,0,0,0.59,0.59,0.09,0.09,0.02,0
2014,101,Fernandinho,Manchester City,33,2283,3,3,2.41,-0.59,2.7,-0.3,0.09,0.11
2014,134,Fernando,Manchester City,25,1886,2,2,1.68,-0.32,1.58,-0.42,0.08,0.08
2014,411,Filip Djuricic,Southampton,9,313,0,0,0.42,0.42,0.32,0.32,0.12,0.09
2014,444,Filipe Luis,Chelsea,15,940,0,0,0.26,0.26,0.49,0.49,0.02,0.05
2014,466,Florin Gardos,Southampton,11,572,0,0,0.02,0.02,0.02,0.02,0,0
2014,79,Fraizer Campbell,Crystal Palace,20,1187,4,0,4.22,0.22,0.47,0.47,0.32,0.04
2014,257,Francis Coquelin,Arsenal,22,1667,0,0,0.08,0.08,0.19,0.19,0,0.01
2014,50,Frank Lampard,Manchester City,32,958,6,1,4,-2,0.95,-0.05,0.38,0.09
2014,342,Fraser Forster,Southampton,30,2623,0,0,0,,0.02,0.02,0,0
2014,440,Fredrik Ulvestad,Burnley,2,67,0,0,0,,0,,0,0
2014,255,Gabriel,Arsenal,6,347,0,1,0.04,0.04,0.03,-0.97,0.01,0.01
2014,48,Gabriel Agbonlahor,Aston Villa,34,2698,6,1,5.63,-0.37,1.55,0.55,0.19,0.05
2014,210,Gabriel Obertan,Newcastle United,13,644,1,1,0.4,-0.6,1.34,0.34,0.06,0.19
2014,180,Gaël Clichy,Manchester City,23,2060,1,3,1.08,0.08,2.3,-0.7,0.05,0.1
2014,279,Gareth Barry,Everton,33,2832,0,2,1.36,1.36,1.67,-0.33,0.04,0.05
2014,204,Gareth McAuley,West Bromwich Albion,24,2071,1,0,1.14,0.14,0.53,0.53,0.05,0.02
2014,192,Gary Cahill,Chelsea,36,2986,1,0,1.82,0.82,1.69,1.69,0.06,0.05
2014,530,Gary Taylor-Fletcher,Leicester,1,16,0,0,0,,0,,0,0
2014,218,Gastón Ramírez,"Hull, Southampton",23,997,1,2,1.02,0.02,1.64,-0.36,0.09,0.15
2014,350,Geoff Cameron,Stoke,27,2133,0,1,1.23,1.23,1.32,0.32,0.05,0.06
2014,65,George Boyd,"Burnley, Hull",36,3035,5,2,3.48,-1.52,3.56,1.56,0.1,0.11
2014,519,Georgios Samaras,West Bromwich Albion,5,59,0,0,0.07,0.07,0,,0.1,0
2014,404,Gerhard Tremmel,Swansea,2,107,0,0,0,,0,,0,0
2014,217,Glen Johnson,Liverpool,19,1324,1,0,1.05,0.05,0.31,0.31,0.07,0.02
2014,38,Glenn Murray,Crystal Palace,17,859,7,3,9.53,2.53,1.53,-1.47,1,0.16
2014,352,Glenn Whelan,Stoke,28,2279,0,0,0.4,0.4,0.6,0.6,0.02,0.02
2014,202,Graham Dorrans,West Bromwich Albion,21,1608,1,3,1.51,0.51,2.65,-0.35,0.08,0.15
2014,12,Graziano Pellè,Southampton,38,3291,12,2,18.62,6.62,4.48,2.48,0.51,0.12
2014,452,Guy Demel,West Ham,6,263,0,0,0,,0.11,0.11,0,0.04
2014,34,Gylfi Sigurdsson,Swansea,32,2721,7,10,5.18,-1.82,8.45,-1.55,0.17,0.28
2014,523,Haris Vuckic,Newcastle United,1,7,0,0,0,,0,,0,0
2014,367,Harrison Reed,Southampton,9,462,0,0,0.12,0.12,0,,0.02,0
2014,2,Harry Kane,Tottenham,34,2589,21,4,17.16,-3.84,3.92,-0.08,0.6,0.14
2014,426,Harry Maguire,Hull,3,83,0,0,0,,0,,0,0
2014,449,Hatem Ben Arfa,Hull,8,383,0,0,0.49,0.49,0.41,0.41,0.11,0.1
2014,121,Héctor Bellerín,Arsenal,20,1564,2,1,0.28,-1.72,1.77,0.77,0.02,0.1
2014,292,Hugo Lloris,Tottenham,35,3063,0,0,0,,0,,0,0
2014,509,Isaiah Brown,Chelsea,1,8,0,0,0,,0,,0,0
2014,347,Jack Butland,Stoke,3,270,0,0,0,,0,,0,0
2014,84,Jack Colback,Newcastle United,35,3130,4,6,2.82,-1.18,2.34,-3.66,0.08,0.07
2014,104,Jack Cork,"Southampton, Swansea",27,1795,3,0,3.13,0.13,0.71,0.71,0.16,0.04
2014,306,Jack Grealish,Aston Villa,17,798,0,1,1.07,1.07,2.29,1.29,0.12,0.26
2014,106,Jack Rodwell,Sunderland,23,1483,3,0,2.48,-0.52,0.28,0.28,0.15,0.02
2014,160,Jack Wilshere,Arsenal,14,739,2,1,2.42,0.42,1.43,0.43,0.29,0.17
2014,495,Jak Alnwick,Newcastle United,6,493,0,0,0,,0,,0,0
2014,435,Jake Hesketh,Southampton,2,49,0,0,0.08,0.08,0,,0.15,0
2014,228,Jake Livermore,Hull,35,3041,1,1,1.22,0.22,0.99,-0.01,0.04,0.03
2014,147,James Chester,Hull,23,1878,2,0,0.69,-1.31,0.2,0.2,0.03,0.01
2014,298,James Collins,West Ham,27,1870,0,0,1.04,1.04,0.3,0.3,0.05,0.01
2014,137,James McArthur,Crystal Palace,32,2623,2,0,2.07,0.07,1.77,1.77,0.07,0.06
2014,129,James McCarthy,Everton,28,2416,2,1,1.41,-0.59,1.04,0.04,0.05,0.04
2014,53,James Milner,Manchester City,32,1732,5,7,5.72,0.72,4.97,-2.03,0.3,0.26
2014,159,James Morrison,West Bromwich Albion,33,2567,2,1,1.74,-0.26,3.1,2.1,0.06,0.11
2014,174,James Tomkins,West Ham,22,1858,1,3,2.16,1.16,2.03,-0.97,0.1,0.1
2014,208,James Ward-Prowse,Southampton,25,1488,1,6,2.94,1.94,3.92,-2.08,0.18,0.24
2014,223,James Wilson,Manchester United,13,329,1,0,1.06,0.06,0.04,0.04,0.29,0.01
2014,60,Jamie Vardy,Leicester,34,2261,5,8,7.85,2.85,5.18,-2.82,0.31,0.21
2014,294,Jan Vertonghen,Tottenham,32,2807,0,0,0.59,0.59,0.08,0.08,0.02,0
2014,508,Jason Davidson,West Bromwich Albion,2,101,0,0,0,,0.05,0.05,0,0.05
2014,471,Jason McCarthy,Southampton,1,2,0,0,0,,0,,0,0
2014,41,Jason Puncheon,Crystal Palace,37,2823,6,7,2.79,-3.21,5.31,-1.69,0.09,0.17
2014,473,Jason Shackell,Burnley,38,3346,0,0,0.81,0.81,0.44,0.44,0.02,0.01
2014,432,Javier Manquillo,Liverpool,10,765,0,0,0.08,0.08,0.07,0.07,0.01,0.01
2014,363,Jay Fulton,Swansea,2,112,0,0,0,,0,,0,0
2014,502,Jazz Richards,Swansea,10,633,0,1,0,,0.13,-0.87,0,0.02
2014,507,Jed Steer,Aston Villa,1,90,0,0,0,,0,,0,0
2014,193,Jefferson Montero,Swansea,30,1551,1,7,1.01,0.01,3.65,-3.35,0.06,0.21
2014,108,Jeffrey Schlupp,Leicester,32,2557,3,2,2.3,-0.7,1.55,-0.45,0.08,0.05
2014,82,Jermain Defoe,Sunderland,17,1468,4,0,4.02,0.02,1.26,1.26,0.25,0.08
2014,386,Jerome Sinclair,Liverpool,2,22,0,0,0,,0.05,0.05,0,0.21
2014,511,Jerome Thomas,Crystal Palace,1,5,0,0,0,,0,,0,0
2014,272,Jesse Lingard,Manchester United,1,23,0,0,0,,0,,0,0
2014,285,Jesús Navas,Manchester City,35,2237,0,8,3.68,3.68,8.59,0.59,0.15,0.35
2014,170,Joe Allen,Liverpool,21,1477,1,0,0.7,-0.3,0.54,0.54,0.04,0.03
2014,225,Joe Cole,Aston Villa,12,263,1,1,0.28,-0.72,0.45,-0.55,0.09,0.15
2014,283,Joe Hart,Manchester City,36,3240,0,0,0,,0,,0,0
2014,123,Joe Ledley,Crystal Palace,32,2581,2,0,1.69,-0.31,1.5,1.5,0.06,0.05
2014,259,Joel Campbell,Arsenal,4,34,0,0,0,,0.09,0.09,0,0.23
2014,278,Joel Robles,Everton,7,575,0,0,0,,0,,0,0
2014,172,Joel Ward,Crystal Palace,37,3330,1,0,0.31,-0.69,0.88,0.88,0.01,0.02
2014,242,Joey Barton,Queens Park Rangers,28,2347,1,3,2.06,1.06,5.23,2.23,0.08,0.2
2014,370,Joey O'Brien,West Ham,9,523,0,0,0.09,0.09,0.45,0.45,0.02,0.08
2014,309,John Obi Mikel,Chelsea,18,678,0,1,0.49,0.49,0.33,-0.67,0.06,0.04
2014,322,John O'Shea,Sunderland,37,3270,0,0,0.58,0.58,0.35,0.35,0.02,0.01
2014,175,John Stones,Everton,23,2046,1,0,0.2,-0.8,0.66,0.66,0.01,0.03
2014,62,John Terry,Chelsea,38,3420,5,0,5.22,0.22,0.4,0.4,0.14,0.01
2014,187,Joleon Lescott,West Bromwich Albion,34,3060,1,2,2.4,1.4,0.55,-1.45,0.07,0.02
2014,233,Jonás Gutiérrez,Newcastle United,10,629,1,1,0.3,-0.7,0.62,-0.38,0.04,0.09
2014,203,Jonas Olsson,West Bromwich Albion,13,817,1,0,0.37,-0.63,0.72,0.72,0.04,0.08
2014,28,Jonathan Walters,Stoke,32,2439,8,4,5.56,-2.44,3.24,-0.76,0.21,0.12
2014,403,Jonathan Williams,Crystal Palace,2,28,0,0,0.12,0.12,0.39,0.39,0.39,1.24
2014,109,Jonjo Shelvey,Swansea,31,2471,3,5,4.55,1.55,2.94,-2.06,0.17,0.11
2014,336,Jonny Evans,Manchester United,14,1095,0,0,0.01,0.01,0.04,0.04,0,0
2014,43,Jordan Henderson,Liverpool,37,3253,6,9,4.29,-1.71,6.79,-2.21,0.12,0.19
2014,319,Jordi Amat,Swansea,10,591,0,0,0,,0.04,0.04,0,0.01
2014,89,Jordi Gómez,Sunderland,29,1952,4,2,3.72,-0.28,1.79,-0.21,0.17,0.08
2014,251,Jordon Ibe,Liverpool,12,616,0,0,0.59,0.59,0.36,0.36,0.09,0.05
2014,290,Jordon Mutch,"Crystal Palace, Queens Park Rangers",16,850,0,1,0.94,0.94,0.85,-0.15,0.1,0.09
2014,189,Jores Okore,Aston Villa,23,2005,1,0,0.79,-0.21,0.54,0.54,0.04,0.02
2014,515,José Enrique,Liverpool,4,201,0,0,0.01,0.01,0.06,0.06,0.01,0.03
2014,343,José Fonte,Southampton,37,3330,0,1,1.33,1.33,1.24,0.24,0.04,0.03
2014,510,José Pozo,Manchester City,3,141,0,0,0.52,0.52,0.18,0.18,0.33,0.12
2014,516,Jozy Altidore,Sunderland,11,289,0,0,0.35,0.35,0.05,0.05,0.11,0.01
